T_BME280_0_C;p_BME280_0_hPa;rH_BME280_0_%;T_BME280_1_C;p_BME280_1_hPa;rH_BME280_1_%;AccelX_mss;AccelY_mss;AccelZ_mss;GyroX_rads;GyroY_rads;GyroZ_rads;MagX_uT;MagY_uT;MagZ_uT;millis_ms;Jahr/Monat/Tag;Stunden:Minuten:Sekunden;f_lat;f_lon;f_altitude;f_kmph;Sateliten
14.45;1004.68;67.76;13.95;1003.80;65.82;1.98;0.24;-9.31;0.03;-0.06;-0.81;-19.11;38.05;-65.04;11504;
14.49;1004.77;66.40;14.05;1003.93;65.03;1.97;0.14;-9.33;0.03;-0.06;-0.81;-20.72;37.51;-64.53;16890;
14.53;1004.77;65.53;14.13;1003.90;64.54;2.07;0.23;-9.28;0.02;-0.06;-0.75;-20.90;36.62;-61.61;22277;
14.57;1004.71;65.19;14.20;1003.87;64.23;1.94;0.34;-9.28;0.01;-0.06;-0.75;-21.62;34.83;-61.61;27658;
14.61;1004.78;64.99;14.25;1003.90;64.14;2.72;0.09;-9.19;0.02;-0.06;-0.82;-30.90;32.33;-60.92;33042;
14.64;1004.78;64.94;14.31;1003.94;63.92;2.16;0.32;-9.18;0.05;-0.06;-0.79;-38.05;33.05;-61.95;38426;
14.66;1004.75;64.68;14.36;1003.89;63.76;1.84;-0.89;-9.59;0.06;-0.07;-1.07;-34.12;30.90;-61.26;42984;2020/01/31;14:51:51.00;53.51193;8.51222;1000000.00;11.45;255
14.65;1004.78;64.66;14.36;1003.92;63.81;2.19;-1.06;-9.57;0.13;-0.08;-1.14;-31.26;30.90;-61.61;43809;2020/01/31;14:51:52.00;53.51193;8.51229;1000000.00;11.07;255
14.66;1004.78;64.71;14.37;1003.93;63.76;1.89;-0.85;-9.32;0.17;-0.07;-1.16;-24.83;31.98;-58.52;44806;2020/01/31;14:51:53.00;53.51195;8.51234;1000000.00;10.91;255
14.66;1004.78;64.79;14.37;1003.91;63.78;2.30;-0.67;-8.82;0.06;-0.07;-1.14;-23.22;35.37;-58.00;45808;2020/01/31;14:51:54.00;53.51197;8.51236;1000000.00;12.37;255
14.66;1004.78;64.82;14.37;1003.89;63.79;2.89;0.70;-9.77;0.05;-0.10;-0.96;-19.83;38.41;-57.83;46807;2020/01/31;14:51:55.00;53.51201;8.51239;1000000.00;16.00;255
14.66;1004.78;64.84;14.38;1003.88;63.80;3.24;0.57;-9.61;-0.01;-0.08;-0.82;-19.29;37.51;-56.63;47808;2020/01/31;14:51:56.00;53.51205;8.51241;1000000.00;20.72;255
14.66;1004.73;64.86;14.38;1003.89;63.79;2.36;0.43;-8.72;0.01;-0.06;-0.80;-18.40;37.69;-57.15;48805;2020/01/31;14:51:57.00;53.51208;8.51243;1000000.00;16.35;255
14.67;1004.71;64.95;14.38;1003.87;63.77;2.41;0.49;-8.84;0.04;-0.07;-0.78;-18.58;38.59;-57.32;49809;2020/01/31;14:51:58.00;53.51211;8.51246;1000000.00;16.63;255
14.68;1004.73;65.07;14.39;1003.87;63.74;2.40;0.36;-8.89;0.04;-0.01;-0.80;-19.83;39.12;-56.12;50806;2020/01/31;14:51:59.00;53.51216;8.51249;1000000.00;18.61;255
14.68;1004.73;65.17;14.40;1003.85;63.67;1.98;0.45;-9.76;0.02;-0.16;-0.81;-19.65;38.94;-56.97;51806;2020/01/31;14:52:00.00;53.51220;8.51253;1000000.00;18.32;255
14.69;1004.72;65.25;14.41;1003.84;63.71;2.05;-0.19;-9.37;0.03;-0.07;-0.82;-18.22;38.23;-56.29;52809;2020/01/31;14:52:01.00;53.51224;8.51256;1000000.00;17.80;255
14.69;1004.74;65.28;14.41;1003.86;63.72;2.10;0.29;-9.54;0.04;-0.05;-0.80;-17.69;38.41;-57.49;53808;2020/01/31;14:52:02.00;53.51227;8.51258;1000000.00;16.50;255
14.70;1004.74;65.27;14.42;1003.89;63.83;1.92;0.10;-9.39;0.02;-0.07;-0.82;-18.58;38.94;-57.66;54807;2020/01/31;14:52:03.00;53.51231;8.51261;1000000.00;16.00;255
14.70;1004.76;65.30;14.42;1003.87;63.97;1.88;-0.26;-9.20;0.03;-0.06;-0.82;-19.65;36.08;-49.08;55809;2020/01/31;14:52:04.00;53.51234;8.51263;1000000.00;14.78;255
14.71;1004.76;65.33;14.43;1003.87;64.07;1.82;0.25;-9.40;0.02;-0.06;-0.80;-16.43;39.66;-58.00;56811;2020/01/31;14:52:05.00;53.51237;8.51266;1000000.00;13.41;255
14.71;1004.77;65.33;14.43;1003.90;64.12;2.11;0.14;-9.40;0.03;-0.05;-0.78;-20.90;39.48;-59.55;57812;2020/01/31;14:52:06.00;53.51240;8.51268;1000000.00;12.28;255
14.72;1004.77;65.32;14.44;1003.90;64.06;2.19;0.09;-9.14;0.02;-0.04;-0.79;-19.29;38.59;-55.26;58806;2020/01/31;14:52:07.00;53.51243;8.51270;1000000.00;12.43;255
14.72;1004.78;65.30;14.44;1003.92;64.02;2.01;0.04;-9.25;0.00;-0.04;-0.80;-19.65;38.23;-55.94;59807;2020/01/31;14:52:08.00;53.51246;8.51272;1000000.00;9.46;255
14.72;1004.76;65.28;14.45;1003.91;64.00;1.88;-0.77;-11.12;0.11;-0.08;-0.78;-18.22;39.66;-58.00;60809;2020/01/31;14:52:09.00;53.51248;8.51274;1000000.00;7.52;255
14.72;1004.74;65.23;14.46;1003.86;63.95;1.74;-0.28;-5.73;0.04;0.08;-0.81;-17.86;38.23;-57.32;61807;2020/01/31;14:52:10.00;53.51250;8.51275;1000000.00;7.46;255
14.73;1004.73;65.20;14.46;1003.84;63.91;2.09;0.07;-9.94;0.02;-0.00;-0.81;-18.94;37.16;-57.66;62811;2020/01/31;14:52:11.00;53.51251;8.51276;1000000.00;7.56;255
14.73;1004.69;65.14;14.47;1003.80;63.81;3.51;0.03;-9.06;0.03;-0.08;-0.80;-18.94;38.94;-59.38;63809;2020/01/31;14:52:12.00;53.51253;8.51277;1000000.00;5.59;255
14.73;1004.68;65.12;14.48;1003.84;63.83;2.75;0.00;-9.46;0.04;-0.07;-0.85;-19.11;38.05;-57.15;64809;2020/01/31;14:52:13.00;53.51255;8.51278;1000000.00;9.52;255
14.74;1004.67;65.10;14.48;1003.80;63.79;2.84;-1.64;-8.98;0.19;-0.09;-1.13;-18.40;39.84;-59.55;65809;2020/01/31;14:52:14.00;53.51258;8.51280;1000000.00;11.32;255
14.74;1004.67;65.08;14.49;1003.83;63.77;2.77;-2.41;-8.72;0.07;-0.05;-1.30;-17.86;45.73;-57.32;66807;2020/01/31;14:52:15.00;53.51261;8.51280;1000000.00;15.74;255
14.75;1004.69;65.04;14.49;1003.82;63.71;2.61;-2.35;-8.99;0.14;-0.06;-1.24;-19.11;54.48;-60.24;67813;2020/01/31;14:52:16.00;53.51264;8.51278;1000000.00;14.63;255
14.75;1004.65;65.03;14.50;1003.78;63.69;2.04;-0.71;-9.55;0.08;-0.08;-0.89;-23.04;57.34;-62.64;68810;2020/01/31;14:52:17.00;53.51268;8.51271;1000000.00;24.71;255
14.76;1004.73;65.01;14.51;1003.83;63.68;3.60;-0.30;-8.89;-0.00;0.01;-0.87;-23.94;58.24;-62.81;69812;2020/01/31;14:52:18.00;53.51271;8.51263;1000000.00;22.67;255
14.75;1004.70;65.02;14.52;1003.85;63.68;3.72;0.22;-9.01;0.03;-0.06;-0.78;-25.01;55.38;-60.06;70810;2020/01/31;14:52:19.00;53.51274;8.51255;1000000.00;28.30;255
14.76;1004.66;65.03;14.52;1003.83;63.73;3.45;0.36;-9.18;-0.01;-0.06;-0.79;-25.01;55.74;-61.44;71817;2020/01/31;14:52:20.00;53.51278;8.51243;1000000.00;36.15;255
14.77;1004.62;65.05;14.52;1003.73;63.73;3.97;0.21;-8.34;0.07;-0.12;-0.80;-25.19;55.20;-60.92;72808;2020/01/31;14:52:21.00;53.51284;8.51231;1000000.00;42.41;255
14.78;1004.60;65.06;14.52;1003.74;63.73;2.16;-0.73;-9.87;0.09;-0.05;-0.83;-22.33;55.56;-60.58;73810;2020/01/31;14:52:22.00;53.51289;8.51217;1000000.00;44.67;255
14.78;1004.68;65.07;14.53;1003.83;63.69;2.76;-0.68;-8.85;0.05;-0.06;-0.83;-23.58;57.52;-60.75;74809;2020/01/31;14:52:23.00;53.51293;8.51201;1000000.00;43.39;255
14.78;1004.58;65.07;14.54;1003.71;63.79;2.79;-1.12;-9.02;0.05;-0.07;-0.84;-25.90;56.27;-61.61;75810;2020/01/31;14:52:24.00;53.51299;8.51185;1000000.00;45.00;255
14.78;1004.57;65.05;14.55;1003.69;63.86;2.62;-0.11;-8.72;0.03;-0.10;-0.81;-25.72;56.45;-61.09;76811;2020/01/31;14:52:25.00;53.51304;8.51167;1000000.00;47.93;255
14.77;1004.52;65.01;14.57;1003.67;63.85;2.27;-0.29;-9.07;0.02;-0.03;-0.83;-26.26;55.91;-61.95;77809;2020/01/31;14:52:26.00;53.51309;8.51148;1000000.00;49.23;255
14.78;1004.53;64.99;14.57;1003.66;63.86;2.52;0.36;-9.58;0.02;-0.07;-0.82;-23.40;56.27;-60.92;78808;2020/01/31;14:52:27.00;53.51315;8.51130;1000000.00;51.80;255
14.79;1004.53;64.97;14.57;1003.65;63.86;1.63;-0.28;-9.06;0.01;-0.05;-0.81;-25.37;55.74;-61.09;79810;2020/01/31;14:52:28.00;53.51321;8.51110;1000000.00;52.86;255
14.78;1004.53;64.94;14.58;1003.71;63.94;1.68;-0.55;-10.20;0.02;-0.01;-0.81;-24.29;56.81;-60.06;80813;2020/01/31;14:52:29.00;53.51325;8.51091;1000000.00;50.86;255
14.78;1004.57;64.89;14.59;1003.70;63.92;2.21;0.23;-9.40;0.03;-0.04;-0.81;-25.55;56.99;-60.58;81811;2020/01/31;14:52:30.00;53.51330;8.51072;1000000.00;50.04;255
14.78;1004.56;64.87;14.59;1003.72;63.90;2.01;-0.54;-9.31;0.01;-0.05;-0.81;-25.37;57.52;-63.50;82808;2020/01/31;14:52:31.00;53.51335;8.51053;1000000.00;49.39;255
14.79;1004.54;64.86;14.60;1003.69;63.82;2.04;-0.68;-10.47;0.03;-0.01;-0.82;-26.26;56.99;-61.95;83809;2020/01/31;14:52:32.00;53.51341;8.51035;1000000.00;48.47;255
14.79;1004.57;64.86;14.60;1003.70;63.82;2.10;0.10;-8.66;0.06;-0.06;-0.79;-23.40;55.56;-62.64;84814;2020/01/31;14:52:33.00;53.51345;8.51017;1000000.00;47.41;255
14.79;1004.54;64.87;14.60;1003.70;63.77;2.01;-0.54;-9.24;0.01;-0.04;-0.81;-26.62;55.56;-62.29;85808;2020/01/31;14:52:34.00;53.51351;8.50999;1000000.00;48.36;255
14.80;1004.55;64.82;14.61;1003.70;63.69;1.68;-1.64;-8.74;0.05;-0.03;-0.82;-25.90;56.63;-61.61;86809;2020/01/31;14:52:35.00;53.51355;8.50979;1000000.00;55.02;255
14.80;1004.53;64.81;14.62;1003.64;63.67;2.08;-0.04;-8.94;0.02;-0.08;-0.79;-23.04;55.91;-60.92;87813;2020/01/31;14:52:36.00;53.51360;8.50960;1000000.00;49.78;255
14.81;1004.55;64.79;14.62;1003.68;63.62;2.30;-0.42;-9.34;0.02;-0.05;-0.81;-24.83;57.34;-61.26;88810;2020/01/31;14:52:37.00;53.51365;8.50943;1000000.00;47.39;255
